Player ID,Name,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness
123447,CALVO Belen,ESP,Female,2000.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
134556,CAMARA Gabrielius,NED,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
136072,CAMERLYNCK Alexandre,LUX,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133366,CAMERLYNCK Chiara,LUX,Female,1998.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101459,CAMERON Niall,SCO,Male,1979.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
119093,CAMPION Camille,FRA,Female,1998.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
112121,CAMPOS Jorge,CUB,Male,1991.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131759,CANAY Claudia,ESP,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
144243,CANCINO Camila,PER,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
143756,CANDELA Juan,ARG,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
123940,CANDRA Alda,INA,Female,2000.0,Inactive,Right-handed,Attacker,Shakehand,0,0,0,0
134737,CANETE Juan,PAR,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135283,CANGIR Sukran,TUR,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
120869,CANO Rodrigo,ESP,Male,1998.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145070,CANO Sergio,MEX,Male,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
101480,CANTERO Jesus,ESP,Male,1982.0,Active,Right-handed,Attacker,Penhold,0,0,1,1
136026,CAO JIA Richard,SWE,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
132137,CAO Wei,CHN,Male,1999.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
119785,CAO Yantao,CHN,Male,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
122093,CAPELLO Benjy,FRA,Male,1997.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131585,CAPPUCCIO Costantino,ITA,Male,2004.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131683,CAPPUCCIO Marco,ITA,Male,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
